Index ,Hypothesis ,No_of_experiments,Selected_features,Minimum_sample_size ,Test_sizes,Sampling_technique ,Stratified_on,Master_campaign_name,Sub_campaign_names,Date_of_requirement,Campaign_start_date ,Campaign_end_date ,Campaign_type,Conversion_metric,Conversion_period 
1,H,2,['Android'],452,"[452, 452]",Random,[],XYZ,"['ExperimentName2', 'Exper2']",17-04-2023,18-04-2023,07-05-2023,Push,Retention rate,10
2,H,4,"['Android', 'Etb']",430,"[465, 430, 430, 430]",Random,[],XYZ,"['Experiment1', 'Experiment2', 'Exper3', 'Experiment4']",17-04-2023,21-04-2023,30-04-2023,Push,Retention rate,10
3,Hypothesis,4,['Android'],452,"[452, 452, 452, 452]",Random,[],XYZ,"['ExperimentName2', 'ExperimentName3', 'Exper7', 'Experiment4']",18-04-2023,21-04-2023,07-05-2023,Push,Retention rate,10
4,Hypothesis,4,"['Android', 'Etb']",452,"[452, 452, 452, 452]",Random,[],XYZ,"['ExperimentName2', ' Experiment5', 'Sys5', 'Exper4']",18-04-2023,22-04-2023,07-05-2023,Push,Retention rate,10
5,Hypot,2,['Ptb'],452,"[452, 452]",Random,[],XYZ,"['ExperimentName2', 'Exper2']",18-04-2023,19-04-2023,30-04-2023,Push,Retention rate,10
6,H,3,"['Android', 'Ptb']",452,"[452, 452, 452]",Random,[],XYZ,"['ExperimentName2', 'ExperimentName3', 'Experiment3']",18-04-2023,20-04-2023,30-04-2023,Push,Retention rate,10
7,H,2,[],7225,"[7225, 7229]",Random,['Soa_Used'],XYZ,"['ExperimentName2', 'Exper2']",24-04-2023,28-04-2023,07-05-2023,Push,Retention rate,10
8,H,1,['Android'],452,[452],Systematic,[],XYZ,"['', '', '', '', 'XYZ', 'XYZ']",24-04-2023,28-04-2023,30-04-2023,Push,Retention rate,10
9,H,3,['Perm Block'],452,"[452, 452, 452]",Random,[],XYZ,"['ExperimentName2', 'Exper2', 'Experiment3']",24-04-2023,22-04-2023,30-04-2023,Push,Retention rate,10
10,H,3,['Android'],452,"[452, 452, 452]",Systematic,[],XYZ,"['ExperimentName2', 'Exper2', 'Experiment3']",24-04-2023,29-04-2023,30-04-2023,Push,Retention rate,10
11,H,2,"['Ptb', 'Android']",452,"[452, 452]",Random,[],XYZ,"['ExperimentName1', ' Experiment5']",24-04-2023,29-04-2023,30-04-2023,Push,Retention rate,10
12,H,5,[],452,"[452, 452, 452, 452, 452]",Systematic,[],Master Campaign Name ,"['ExperimentName2', 'sys-2', 'Experiment3', 'Exper4', 'Exp5']",24-04-2023,26-04-2023,07-05-2023,Push,Retention rate,10
13,H,4,[],452,"[452, 452, 452, 452]",Systematic,[],XYZ,"['ExperimentName2', 'Exper2', 'Experiment3', 'Exper4']",24-04-2023,26-04-2023,07-05-2023,Push,Retention rate,10
14,H,4,[],452,"[452, 452, 452, 452]",Systematic,[],XYZ,"['ExperimentName2', 'Exper2', 'Experiment3', 'Exper4']",24-04-2023,28-04-2023,30-04-2023,Push,Retention rate,10
15,H,3,[],452,"[452, 452, 452]",Random,[],Master Campaign Name ,"['ExperimentName1', 'sys-2', 'Exper7']",24-04-2023,26-04-2023,30-04-2023,Push,Retention rate,10
16,H,3,"['Ptb', 'Android', 'Android', 'Ptb']",452,"[452, 452, 452]",Random,[],XYZ,"['ExperimentName2', ' Experiment5', 'ExperimentName3']",24-04-2023,27-04-2023,07-05-2023,Push,Retention rate,10
17,He,3,"['Android', 'Android']",452,"[452, 452, 452]",Stratified,"['App_unInstalled_flag', 'App_unInstalled_flag']",XYZ,"['ExperimentName2', 'Exper2', 'Exper3']",25-04-2023,27-04-2023,30-04-2023,Push,Retention rate,19
18,H,3,"['Android', 'Ptb', 'Android', 'Ptb']",452,"[998, 1000, 1000]",Stratified,"['No Emi Card', 'No Emi Card']",XYZ,"['ExperimentName2', 'Exper2', 'Experiment3']",25-04-2023,26-04-2023,30-04-2023,Push,Retention rate,17
19,H,3,"['Android', 'Etb', 'Android', 'Etb']",452,"[1000, 2000, 3000]",Systematic,[],XYZ,"['ExperimentName2', 'Exper2', 'Experiment3']",25-04-2023,26-04-2023,30-04-2023,Push,Retention rate,17
20,H,3,[],452,"[1000, 2000, 3000]",Systematic,[],XYZ,"['ExperimentName2', ' Experiment5', 'ExperimentName3']",25-04-2023,26-04-2023,30-04-2023,Push,Retention rate,19
21,H,3,[],452,"[1000, 2000, 452]",Systematic,[],XYZ,"['ExperimentName2', 'Exper2', 'Sys5']",25-04-2023,26-04-2023,30-04-2023,Push,Retention rate,19
22,H,3,[],452,"[500, 500, 500]",Systematic,[],Master Campaign Name ,"['ExperimentName2', 'ExperimentName3', 'Experiment3']",25-04-2023,27-04-2023,30-04-2023,Push,Retention rate,20
23,H,1,['Android'],452,[452],Systematic,[],Master Campaign Name ,['Master Campaign Name '],25-04-2023,26-04-2023,30-04-2023,Push,Retention rate,3
24,H,3,[],452,"[500, 600, 900]",Systematic,[],XYZ,"['ExperimentName2', 'Exper2', 'Experiment3']",25-04-2023,25-04-2023,30-04-2023,Push,Retention rate,19
25,H,2,[],452,"[700, 900]",Systematic,[],Systematic Sampling,"['Sys-1', 'ExperimentName2']",25-04-2023,27-04-2023,30-04-2023,Push,Retention rate,19
26,H,2,['Android'],452,"[900, 900]",Systematic,[],XYZ,"['ExperimentName1', ' Experiment5']",25-04-2023,27-04-2023,30-04-2023,Push,Retention rate,19
27,H,3,"['Ptb', 'Android']",452,"[900, 1000, 1100]",Systematic,[],Master Campaign Name ,"['ExperimentName2', 'Exper2', 'Experiment3']",25-04-2023,26-04-2023,30-04-2023,Push,Retention rate,19
28,h,3,['Android'],452,"[900, 1000, 1100]",Systematic,[],XYZ,"['ExperimentName2', 'sys-2', 'Exper7']",25-04-2023,26-04-2023,30-04-2023,Push,Retention rate,19
29,H,1,['Android'],452,[9000],Systematic,[],XYZ,['XYZ'],25-04-2023,26-04-2023,30-04-2023,Push,Retention rate,19
30,H,3,"['Ptb', 'Android']",72,"[100, 200, 300]",Systematic,[],XYZ,"['ExperimentName2', 'Exper2', 'Experiment3']",25-04-2023,26-04-2023,30-04-2023,Push,Retention rate,3
31,H,4,[],452,"[452, 452, 452, 452]",Systematic,[],XYZ,"['ExperimentName2', 'Exper2', 'Sys5', 'Exper4']",25-04-2023,28-04-2023,07-05-2023,Push,Retention rate,17
32,H,3,['Android'],452,"[900, 1000, 1100]",Systematic,[],XYZ,"['ExperimentName2', 'ExperimentName3', 'Experiment3']",25-04-2023,27-04-2023,30-04-2023,Push,Retention rate,10
33,H,3,"['Android', 'Ptb']",452,"[500, 500, 500]",Systematic,[],XYZ,"['ExperimentName2', ' Experiment5', 'Sys5']",25-04-2023,26-04-2023,30-04-2023,Push,Retention rate,17
34,H,4,"['Android', 'Ptb']",452,"[900, 1000, 9000, 9000]",Systematic,[],XYZ,"['ExperimentName2', 'Exper2', 'Experiment3', 'Exper4']",25-04-2023,26-04-2023,30-04-2023,Push,Retention rate,19
35,H,2,"['Android', 'Ptb']",452,"[900, 900]",Systematic,[],XYZ,"['ExperimentName2', 'Exper2']",25-04-2023,26-04-2023,30-04-2023,Push,Retention rate,19
36,H,4,"['Android', 'Ptb']",452,"[452, 452, 452, 452]",Stratified,['Android'],Systematic Sampling,"['Experiment1', 'Exper2', 'Experiment3', 'Exper4']",26-04-2023,27-04-2023,30-04-2023,Push,Retention rate,20
37,H,4,"['Android', 'Ptb']",452,"[452, 452, 452, 452]",Stratified,['Android'],Systematic Sampling,"['Experiment1', 'Exper2', 'Experiment3', 'Exper4']",26-04-2023,27-04-2023,30-04-2023,Push,Retention rate,20
38,H,1,"['Ptb', 'Android']",452,[452],Systematic,[],XYZ,['XYZ'],26-04-2023,28-04-2023,30-04-2023,Push,Retention rate,20
39,H,1,['Android'],452,[452],Systematic,[],XYZ,['XYZ'],26-04-2023,27-04-2023,30-04-2023,Push,Retention rate,20
40,H,1,"['Android', 'Ptb']",452,[452],Systematic,[],XYZ,['XYZ'],26-04-2023,28-04-2023,30-04-2023,Push,Retention rate,20
41,H,3,['Ptb'],452,"[452, 452, 452]",Systematic,[],XYZ,"['ExperimentName2', 'Exper2', 'Experiment3']",26-04-2023,28-04-2023,30-04-2023,Push,Retention rate,20
42,H,3,['Android'],452,"[452, 452, 452]",Systematic,[],XYZ,"['ExperimentName2', 'Exper2', 'Experiment3']",10-05-2023,2023-05-24,2023-05-28,Push,Retention rate,20
43,Dummy,2,"['Android', 'Ptb']",452,"[800, 900]",Stratified,"['Temp Block', 'No Emi Card']",XYZ,"['ExperimentName2', 'Exper2']",11-05-2023,2023-05-26,2023-05-28,InApp-Pop,App Launch,20
44,H,3,"['Ptb', 'Android']",452,"[452, 452, 452]",Random,[],XYZ,"['ExperimentName2', 'Exper2', 'Experiment3']",15-05-2023,2023-05-16,2023-05-20,Push,Retention rate,20
45,Defin,2,"['Android', 'Ntb']",452,"[2000, 3000]",Stratified,"['30_Days_Active', 'Perm Block']",XYZ,"['ExperimentName2', 'Exper2']",15-05-2023,2023-05-17,2023-05-28,Push,Retention rate,17
46,hhhhhhy,2,"['Digitisation_Flag_3In1', 'Android']",803,"[803, 803]",Random,[],Master Campaign Name ,"['Exper1', 'Exper2']",15-05-2023,2023-05-15,2023-05-20,Push,Retention rate,90
